0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:30:36 +0900] "POST /jsp/ex09_ok.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:34:50 +0900] "GET /jsp/ex09.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:35:01 +0900] "POST /jsp/ex09_ok.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:37:38 +0900] "GET /jsp/ex10_request.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:39:08 +0900] "GET /jsp/ex10_request.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [18/Oct/2023:10:41:29 +0900] "GET /jsp/ex10_request.jsp HTTP/1.1" 200 632
127.0.0.1 - - [18/Oct/2023:10:42:30 +0900] "GET /jsp/ex10_request.jsp HTTP/1.1" 200 626
127.0.0.1 - - [18/Oct/2023:10:42:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [18/Oct/2023:10:44:31 +0900] "GET /jsp/ex10_request.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:11:12 +0900] "GET /jsp/ex11_response_1.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:15:17 +0900] "GET /jsp/ex11_response_1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:15:17 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:15:26 +0900] "GET /jsp/ex11_response_1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:15:26 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:30 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:31 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:32 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:32 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:34 +0900] "GET /jsp/ex11_response_1.jsp HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [18/Oct/2023:11:16:34 +0900] "GET /jsp/ex11_response_2.jsp HTTP/1.1" 200 473
